<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BIC,20130416,6.1426,6.7074,6.1426,6.6368,135470
BIC,20130417,6.7074,7.0604,6.7074,6.9898,132840
BIC,20130418,6.9898,7.3428,6.9898,7.2016,188910
BIC,20130422,7.2016,7.3428,7.1310,7.1310,168140
BIC,20130423,7.1310,7.2722,7.1310,7.1310,117420
BIC,20130424,7.1310,7.1310,6.9898,7.0604,90690
BIC,20130425,6.9192,7.0604,6.7780,6.7780,44100
BIC,20130426,6.8486,7.1310,6.8486,6.9898,52500
BIC,20130502,7.1310,7.1310,6.8486,6.8486,13850
BIC,20130503,6.8486,6.8486,6.4250,6.4250,67390
BIC,20130506,6.5662,6.8486,6.5662,6.8486,132950
BIC,20130507,6.9898,6.9898,6.5662,6.5662,25570
BIC,20130508,6.7780,6.7780,6.4956,6.5662,33360
BIC,20130509,6.7074,6.7074,6.4956,6.5662,28540
BIC,20130510,6.7780,6.7780,6.3544,6.5662,33110
BIC,20130513,6.6368,6.6368,6.4250,6.4956,16490
BIC,20130514,6.4250,6.4250,6.0720,6.2132,165800
BIC,20130515,6.0720,6.2838,6.0720,6.2132,71000
BIC,20130516,6.2838,6.4250,6.2132,6.3544,68460
BIC,20130517,6.3544,6.5662,6.3544,6.5662,86560
BIC,20130520,6.4956,6.6368,6.3544,6.6368,56760
BIC,20130521,6.6368,6.7780,6.5662,6.7780,109850
BIC,20130522,6.7074,6.7074,6.4956,6.4956,30670
BIC,20130523,6.4250,6.5662,6.4250,6.4956,70040
BIC,20130524,6.5662,6.6368,6.4250,6.4956,16690
BIC,20130527,6.5662,6.6368,6.4250,6.6368,86580
BIC,20130528,6.6368,6.7074,6.5662,6.7074,38070
BIC,20130529,6.6368,6.6368,6.3544,6.4956,43040
BIC,20130530,6.5662,6.5662,6.4250,6.5662,37680
BIC,20130531,6.5662,6.6368,6.4956,6.4956,81020
BIC,20130603,6.5662,6.6368,6.4250,6.5662,53880
BIC,20130604,6.5662,6.6368,6.5662,6.5662,37370
BIC,20130605,6.6368,6.6368,6.5662,6.6368,40570
BIC,20130606,6.5662,7.0604,6.5662,7.0604,206470
BIC,20130607,7.2016,7.4134,7.0604,7.4134,99630
BIC,20130610,7.5546,7.7664,7.4840,7.6252,83150
BIC,20130611,7.6252,7.7664,7.4134,7.7664,85470
BIC,20130612,7.4840,8.2607,7.4840,8.2607,254970
BIC,20130613,8.6137,8.6137,8.2607,8.4725,198380
BIC,20130614,8.4725,8.8255,8.3313,8.4019,114110
BIC,20130617,8.4019,8.4019,7.8370,7.8370,7890
BIC,20130618,7.3428,7.4134,7.3428,7.3428,62870
BIC,20130619,6.9898,7.7664,6.9192,7.7664,66700
BIC,20130620,7.4134,7.6252,7.2722,7.4840,96120
