<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ABI,20090915,5.0367,5.3965,5.0367,5.3965,3850
ABI,20090916,5.2526,5.6124,5.2526,5.6124,10500
ABI,20090917,5.9362,5.9362,5.3965,5.3965,8070
ABI,20090918,5.4685,5.9361,5.3965,5.4684,12400
ABI,20090921,5.4684,5.4684,5.4684,5.4684,465
ABI,20090922,5.2166,5.4684,4.9288,4.9288,1830
ABI,20090923,5.3245,5.3605,5.2166,5.3605,3930
ABI,20090924,5.0367,5.2526,5.0367,5.1447,5040
ABI,20090925,5.1087,5.1447,5.1087,5.1447,5500
ABI,20090928,5.2167,5.3965,5.1087,5.1087,2700
ABI,20090929,4.6770,5.0367,4.6770,4.7489,14000
ABI,20090930,5.2166,5.2166,5.0727,5.1087,1600
ABI,20091001,5.1807,5.1807,5.1806,5.1806,200
ABI,20091002,5.3245,5.5764,5.3245,5.5764,910
ABI,20091005,5.5764,6.1161,5.0367,6.1160,5430
ABI,20091006,5.4324,5.4324,4.7849,4.7849,3350
ABI,20091007,5.1806,5.1806,5.1806,5.1806,10
ABI,20091008,5.0367,5.0367,5.0367,5.0367,100
ABI,20091009,4.9647,4.9647,4.7489,4.7849,5100
ABI,20091012,4.7849,4.9648,4.7489,4.7849,0
ABI,20091013,4.8569,4.8569,4.8568,4.8568,2000
ABI,20091014,4.8568,4.8568,4.6769,4.8568,3450
ABI,20091015,4.8568,5.0367,4.8568,4.8568,5820
ABI,20091016,5.1806,5.2166,5.0367,5.0367,2600
ABI,20091019,5.1087,5.2166,5.0367,5.1087,0
ABI,20091020,5.1447,5.5404,5.0367,5.5404,4830
ABI,20091021,4.7849,5.6843,4.7849,5.6843,550
ABI,20091022,5.2166,5.2166,5.2166,5.2166,160
ABI,20091023,4.8928,5.0367,4.7849,4.7849,11100
ABI,20091026,4.4971,4.4971,4.4251,4.4251,6000
ABI,20091027,4.7489,4.7489,4.7489,4.7489,3000
ABI,20091028,4.2812,4.2812,4.2812,4.2812,26240
ABI,20091029,4.3172,4.3172,3.8855,4.3172,4700
ABI,20091030,4.6050,4.6050,4.6050,4.6050,10
