<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PTI,20110830,4.6579,4.7501,4.6118,4.6579,30600
PTI,20110831,4.7501,4.7501,4.6579,4.7040,30400
PTI,20110901,4.6579,4.8424,4.6579,4.8424,28800
PTI,20110905,4.8424,4.9346,4.7963,4.8424,68700
PTI,20110906,4.6579,4.8424,4.6579,4.8424,40800
PTI,20110907,4.8885,5.0269,4.8885,5.0268,58300
PTI,20110908,4.6579,5.1190,4.6579,4.9807,28100
PTI,20110909,4.9807,5.0268,4.7040,4.7963,61600
PTI,20110912,5.1191,5.2114,4.9347,5.2113,182700
PTI,20110913,5.2113,5.4419,5.2113,5.4419,266400
PTI,20110914,5.6725,5.7647,5.6725,5.7647,44400
PTI,20110915,6.1336,6.1336,5.9492,6.0876,229600
PTI,20110916,6.0876,6.1798,5.9492,5.9953,166100
PTI,20110919,6.1337,6.1337,5.9031,5.9492,80100
PTI,20110920,5.9953,6.1337,5.9031,5.9031,79200
PTI,20110921,5.9492,5.9953,5.7647,5.8108,92400
PTI,20110922,6.1336,6.1336,5.7647,5.9031,106500
PTI,20110923,5.9953,5.9953,5.6725,5.7647,67000
PTI,20110926,5.9031,5.9031,5.6263,5.7647,62900
PTI,20110927,5.7186,5.7186,5.4419,5.4419,57100
PTI,20110928,5.6264,5.6264,5.3958,5.4880,53700
PTI,20110929,5.5341,5.5341,5.2574,5.3497,51300
PTI,20110930,5.5803,5.5803,5.2574,5.2574,89600
PTI,20111003,5.4880,5.4880,5.3035,5.3036,35100
PTI,20111004,5.4881,5.4881,5.2575,5.3958,65300
PTI,20111005,5.4880,5.4880,5.3958,5.4419,40100
PTI,20111006,5.5341,5.5803,5.3035,5.5341,56900
PTI,20111007,5.5802,5.6725,5.4880,5.4880,53000
PTI,20111010,5.4880,5.4880,5.4880,5.4880,30800
PTI,20111011,5.4880,5.4880,5.3035,5.4419,50400
PTI,20111012,5.5803,5.5803,5.3958,5.3958,42000
PTI,20111013,5.4880,5.4880,5.4880,5.4880,30500
PTI,20111014,5.3035,5.4880,5.3035,5.4880,38900
PTI,20111017,5.4880,5.4880,5.3496,5.4880,44400
PTI,20111018,5.4419,5.4419,5.2574,5.3958,33200
PTI,20111019,5.4880,5.4880,5.4419,5.4419,17700
PTI,20111020,5.3958,5.4419,5.2574,5.3036,37000
PTI,20111021,5.4420,5.4420,5.1191,5.3958,51000
PTI,20111024,5.3497,5.3497,5.2113,5.3497,52000
PTI,20111025,5.4419,5.4419,5.3497,5.3497,48400
PTI,20111026,5.3497,5.3497,5.3036,5.3497,33900
PTI,20111027,5.3036,5.3036,4.9346,4.9346,17300
PTI,20111028,4.8424,5.1191,4.8424,5.1191,2000
PTI,20111031,5.3958,5.4419,4.9346,5.3036,84900
PTI,20111101,5.3958,5.3958,5.0730,5.0730,33100
PTI,20111102,5.3036,5.3036,4.9808,5.1652,128300
PTI,20111103,5.2113,5.2113,5.0268,5.0730,45700
PTI,20111104,5.1652,5.1652,4.9346,5.0730,67100
PTI,20111107,5.0269,5.0269,4.7963,5.0268,44000
PTI,20111108,5.0268,5.0268,4.7501,4.9807,44800
PTI,20111109,4.9807,4.9807,4.9346,4.9807,31300
PTI,20111110,4.9346,4.9346,4.7501,4.9346,28400
PTI,20111111,4.9346,4.9346,4.9346,4.9346,17100
PTI,20111114,4.9807,4.9807,4.7501,4.8885,9900
PTI,20111115,4.9807,4.9807,4.7963,4.7963,13200
PTI,20111116,4.9808,4.9808,4.9347,4.9807,15300
PTI,20111117,4.9346,4.9346,4.8885,4.8885,10400
PTI,20111118,4.9346,4.9807,4.8424,4.8885,22300
PTI,20111121,4.8885,4.9346,4.7963,4.8885,12900
PTI,20111122,4.9807,4.9807,4.7963,4.7963,10300
PTI,20111123,4.9347,4.9808,4.8885,4.9346,21300
PTI,20111124,4.8885,4.8885,4.8885,4.8885,11400
PTI,20111125,4.9346,4.9346,4.8424,4.8424,13400
PTI,20111128,4.8424,4.9808,4.7502,4.8424,16300
PTI,20111129,4.9346,4.9346,4.7502,4.8885,15700
PTI,20111130,4.9346,4.9346,4.7501,4.8885,17600
PTI,20111201,4.9346,4.9346,4.8885,4.8885,19100
PTI,20111202,4.9346,4.9346,4.8885,4.8885,8500
PTI,20111205,4.9346,4.9346,4.7501,4.9346,32000
PTI,20111206,4.9346,4.9346,4.8424,4.8885,11200
PTI,20111207,4.8885,4.8885,4.8885,4.8885,5100
PTI,20111208,4.8885,4.8885,4.7040,4.7040,6700
PTI,20111209,4.7962,4.7962,4.6118,4.7040,21700
PTI,20111212,4.7962,4.7962,4.6579,4.7040,11500
PTI,20111213,4.7962,4.7962,4.6579,4.7501,13100
PTI,20111214,4.7501,4.7962,4.5656,4.6118,13900
PTI,20111215,4.7502,4.7502,4.5657,4.6118,8800
PTI,20111216,4.7502,4.7963,4.6118,4.7040,11300
PTI,20111219,4.6579,4.7040,4.5656,4.6579,18900
PTI,20111220,4.7040,4.7040,4.3812,4.6118,20600
PTI,20111221,4.6579,4.6579,4.5196,4.6118,13600
PTI,20111222,4.6118,4.6579,4.4273,4.5657,11200
PTI,20111223,4.5657,4.6118,4.4273,4.6118,7700
PTI,20111226,4.5657,4.5657,4.3351,4.5195,21300
PTI,20111227,4.5195,4.5195,4.3350,4.4273,15500
PTI,20111228,4.5195,4.5195,4.4273,4.4734,6700
PTI,20111229,4.5656,4.5656,4.4273,4.5195,5300
PTI,20111230,4.6117,4.6117,4.5656,4.5657,7500
PTI,20120103,4.6118,4.6118,4.4735,4.6118,6100
PTI,20120104,4.6118,4.6118,4.5657,4.5657,5100
PTI,20120105,4.5196,4.5657,4.3812,4.5657,7800
PTI,20120106,4.5657,4.5657,4.4273,4.4734,4600
PTI,20120109,4.5656,4.5656,4.4734,4.5195,5200
PTI,20120110,4.5656,4.5657,4.3350,4.5657,17700
PTI,20120111,4.5657,4.6118,4.5657,4.5657,4400
PTI,20120112,4.5196,4.5657,4.5196,4.5657,5600
PTI,20120113,4.5657,4.5657,4.3812,4.5195,5800
PTI,20120116,4.5195,4.5656,4.5195,4.5195,5800
PTI,20120117,4.5656,4.6117,4.5195,4.5195,4500
PTI,20120118,4.5656,4.6117,4.5656,4.5657,4700
PTI,20120119,4.6118,4.6118,4.5196,4.5657,6600
PTI,20120120,4.6118,4.6118,4.5657,4.6118,4700
PTI,20120130,4.6579,4.6579,4.5196,4.6118,4800
PTI,20120131,4.6579,4.6579,4.6118,4.6118,6000
